Global SCOPE
My SCOPE = 0
Name,identity,scope,Line Number,Type,Size
main,1,0,18,None,0
power,1,0,15,int,2
divide,1,0,10,float,2
multiply,1,0,7,int,2
subtract,1,0,4,int,2
add,1,0,1,int,2

main Table : Parent's SCOPE 0
My SCOPE = 6
Name,identity,scope,Line Number,Type,Size
choice,0,6,27,int,0
num2,0,6,26,int,0
num1,0,6,25,int,0

power Table : Parent's SCOPE 0
My SCOPE = 5
Name,identity,scope,Line Number,Type,Size
x,0,5,15,int,0
y,0,5,15,int,0

divide Table : Parent's SCOPE 0
My SCOPE = 4
Name,identity,scope,Line Number,Type,Size
x,0,4,10,int,0
y,0,4,10,int,0

multiply Table : Parent's SCOPE 0
My SCOPE = 3
Name,identity,scope,Line Number,Type,Size
x,0,3,7,int,0
y,0,3,7,int,0

subtract Table : Parent's SCOPE 0
My SCOPE = 2
Name,identity,scope,Line Number,Type,Size
x,0,2,4,int,0
y,0,2,4,int,0

add Table : Parent's SCOPE 0
My SCOPE = 1
Name,identity,scope,Line Number,Type,Size
x,0,1,1,int,0
y,0,1,1,int,0

